id,date,text,retweet_count
Draplin Design Co.,2021-07-25 02:26:48+00:00,"DDC11984: FABRICOH: Damn, I wish I was back in Chicago seeing those Archers of Loaf tonight. Dang. #fearofmissingloaf #middleage",0
Draplin Design Co.,2021-07-17 07:39:10+00:00,DDC11983: For Biz Markie.,2
Draplin Design Co.,2021-06-14 16:53:45+00:00,DDC11982: For Ned Beatty.,0
Draplin Design Co.,2021-05-26 23:30:02+00:00,DDC11981: NO ONE TELLS ME NOTHING: Just finding out about this beast: https://t.co/IQmfp76bh2 Oh man. Wild times! #rightangles #electricity,2
Draplin Design Co.,2021-05-24 20:42:06+00:00,DDC11980: VAXXED TO THE MAX: Our “Very Vaccinated” spirit patch and decal kit are NOW SHIPPING: https://t.co/AmS9PamhY9 Historic pokes!!!,5
Draplin Design Co.,2021-05-22 08:27:33+00:00,"DDC11979: FUCKIN’ BLEW IT: Not seeing these guys back in the day: https://t.co/ru2fpCkhHk An incredible band. Superdrag in Portland, 1996.",0
Draplin Design Co.,2021-05-19 04:26:24+00:00,DDC11978: For Charles Grodin.,0
Draplin Design Co.,2021-05-17 19:33:48+00:00,"DDC11977: FROTHY FRENZY: Sold a big chunk in the first couple minutes, but I have a MOUNTAIN of these on deck. Moving like crazy! #hellyeah",0
Draplin Design Co.,2021-05-17 19:04:00+00:00,DDC11976: IT’S HIGH NOON: And that link to our “TIMEX x DDC Scout Watch” is up: https://t.co/cDLmocYAYV,1
Draplin Design Co.,2021-05-17 16:57:35+00:00,"DDC11975: TWO HOURS FROM NOW: The fourth edition of our “TIMEx x DDC Scout Watch” drops over at https://t.co/w8nd0LjFx8. Noon, 12 PM PST!",1
Draplin Design Co.,2021-05-12 17:22:07+00:00,"DDC11974: VERY VIRGINIA: @DM4PREZ: Still in stock, man! https://t.co/tOyemCbX8M",0
Draplin Design Co.,2021-05-11 16:17:13+00:00,DDC11973: RT: @SKILLSHARE: @Draplin has always taken inspiration from the rough quality of vintage graphics. In his… https://t.co/vSbHP3vNOo,0
Draplin Design Co.,2021-05-11 15:52:41+00:00,DDC11972: FOR IMMEDIATE RELEASE: Our new @Skillshare class “Crusty Techniques: Getting Dirty with the DDC” is up! G… https://t.co/dD8n73ej5N,1
Draplin Design Co.,2021-05-10 22:29:18+00:00,"DDC11971: BONAFIDE DAYWRECKER HERE: An action-packed archive of ‘80s action figure logos! GET IN THERE, YOU ANIMALS: https://t.co/JUK6vqiXlG",13
Draplin Design Co.,2021-04-20 21:11:16+00:00,DDC11970: Justice for George Floyd!,7
Draplin Design Co.,2021-04-20 02:51:13+00:00,DDC11969: For Walter Mondale.,0
Draplin Design Co.,2021-03-26 18:14:42+00:00,DDC11968: RT: @trimet: Let’s settle this: Which of our old sector symbols was best? https://t.co/A8Ga98nGPr &gt; 1. Rose 2. Raindrops 3. Beaver,0
Draplin Design Co.,2021-03-26 18:11:37+00:00,DDC11967: RT: @dribbble: Looking to make your mark?✨Join @Draplin for an interactive #DribbbleWorkshop where you’ll… https://t.co/twLQKbqJNi,0
Draplin Design Co.,2021-03-19 17:41:52+00:00,DDC11966: RT: @dribbble: Learn logo design &amp; workflow optimization from @Draplin on April 7! Reserve your spot now: https://t.co/oIJeoOnJDU,0
Draplin Design Co.,2021-03-16 09:32:05+00:00,DDC11965: For Yaphet Kotto.,0
Draplin Design Co.,2021-03-02 21:49:07+00:00,"DDC11964: ATTENTION, PORTLAND: Anyone looking to move a flat file? We are “in the market” looking for a 49.5” x 39”-ish 5-drawer in “gray.”",3
Draplin Design Co.,2021-02-27 00:53:50+00:00,"DDC11963: GOING LIVE AT FIVE: Doing a Factory Floor Friday live Instagrizz in in 7 minutes. 5 PM PST. Sketching, vectoring and bullshitting!",1
Draplin Design Co.,2021-02-26 22:58:26+00:00,DDC11962: BIG BANG: Sold 300 of these bad boys in the first 30 seconds! INSANITY!!! Still have a handful left!… https://t.co/lXY03Lrsex,1
Draplin Design Co.,2021-02-26 20:01:32+00:00,DDC11961: NOW: Cuts like a knife! https://t.co/0b5qOdqENC @thejamesbrand,0
Draplin Design Co.,2021-02-26 18:48:59+00:00,"DDC11960: RT: @beardsndesign: I await to purchase two. 🔪 &gt; HELL YEAH, UTAH! THESE THINGS ARE LINED UP AND READY FOR THAT WASATCH ONE-WAY!",0
Draplin Design Co.,2021-02-26 18:46:57+00:00,"DDC11959: RT: @bump: I have this tiny orange knife. It's really nice. https://t.co/dLvUpoXDjA &gt; Thanks, Occhialini! #HELLYEAH #ORANGENESS",0
Draplin Design Co.,2021-02-26 18:46:05+00:00,DDC11958: @SounderTID: They are $60 + Shipping. My first Elko lasted me four years. That’s a $1.25 a month. Good value. Sharp as shit! GO!,0
Draplin Design Co.,2021-02-26 18:14:17+00:00,DDC11957: HIGH NOON TODAY: The second offering of our @thejamesbrand x DDC “Elko” knife! At this link at 12 PM PST: https://t.co/O3AwqciNHX,2
Draplin Design Co.,2021-02-24 02:24:12+00:00,DDC11956: DAMN: We love @howlinrain! All the way back to 2006. “Under the Wheels Vol 2” FUCKIN’ RIPS. Boss cover! @arik_roper @chunklet,1
Draplin Design Co.,2021-02-23 21:18:26+00:00,DDC11955: For Lawrence Ferlinghetti.,0
Draplin Design Co.,2021-02-20 00:46:58+00:00,"DDC11954: GOING LIVE AT FIVE: Factory Floor Friday on our Instagrizz live thingie. 5 PM sharp. Live drawing, vectoring &amp; gen’l bullshitting.",0
Draplin Design Co.,2021-02-20 00:38:28+00:00,DDC11953: RT: @SeanMcCarthee: I bought @Draplin’s book. I might even read it someday. https://t.co/QuGQ38LiV5 &gt; TRIPLE DOG DARE YOU.,2
Draplin Design Co.,2021-02-18 23:34:29+00:00,"DDC11952: A MOMENT OF SILENCE, PLEASE: For Bruce Blackburn, who’s in the @nytimes today: https://t.co/2UM6c6ftmE (Thanks, @youngstownjesse.)",21
Draplin Design Co.,2021-02-15 06:51:28+00:00,DDC11951: RIPPING: https://t.co/Vx5VqSwlOc,0
Draplin Design Co.,2021-02-13 23:14:50+00:00,"DDC11950: RT: @youngstownjesse: YUM: https://t.co/Iyt2pJuUEi &gt; A lot to unpack there. I’m hung up on the “PB” in a “Damn, that width!” loop.",1
Draplin Design Co.,2021-02-07 23:23:17+00:00,"DDC11949: RT: @michaelbierut: Blackburn created the Bicentennial symbol while a partner at Chermayeff &amp; Geismar, an… https://t.co/FM8e9Obayn",0
Draplin Design Co.,2021-02-07 23:21:51+00:00,DDC11948: RT: @michaelbierut: RIP Graphic designer Bruce Blackburn (1938-2021) who 45 years ago designed one of the… https://t.co/j7vr5UGOy3,2
Draplin Design Co.,2021-02-07 23:20:42+00:00,DDC11947: For Bruce Blackburn.,0
Draplin Design Co.,2021-02-06 03:07:16+00:00,DDC11946: For Christopher Plummer.,1
Draplin Design Co.,2021-02-03 05:29:54+00:00,DDC11945: For Hal Holbrook.,0
Draplin Design Co.,2021-01-28 08:30:51+00:00,DDC11944: For Cloris Leachman.,0
Draplin Design Co.,2021-01-27 21:47:19+00:00,DDC11943: LUNAR LEES: Just snagged a couple vinyl copies of @TheLeesOfMemory “Moon Shot” and BLASTING the download now! DIGGING IT! #guitars,0
Draplin Design Co.,2021-01-26 23:56:59+00:00,"DDC11942: …through about two songs. Walked home. Summer of ’97? He starting doing that hopping  side to side thing, and I had to go. Ha.",0
Draplin Design Co.,2021-01-26 23:55:09+00:00,"DDC11941: @fezlab: I did those summers in Alaska, and there’d be one concert per summer. Primus came one year. EVERYONE went. I made it…",0
Frank Chimero,2021-10-06 19:52:07+00:00,@ChappellTracker @karenmcgrane Hello from a dude who regularly wears his noise-cancelling headphones around the apa… https://t.co/47z3kOysP4,1
Frank Chimero,2021-10-06 15:46:54+00:00,Love Laurie. Love Sam. Wonderful profile on a wonderful artist. https://t.co/MqsKf1sY7F,0
Frank Chimero,2021-10-04 20:14:31+00:00,@francois_bach @LexRomanInc @hyumankind @multimicah @tranhelen @jackbutcher @darngooood https://t.co/5qP9uIAtXx,0
Frank Chimero,2021-10-02 01:57:46+00:00,RT @mattyj612: All of moral philosophy is intellectually bankrupt because it fails to consider that the prime virtue and source of meaning…,24
Frank Chimero,2021-10-01 19:19:06+00:00,@austinkleon Yep,0
Frank Chimero,2021-10-01 18:27:53+00:00,"Damn, I really was sleeping on that last Madlib album. Came out back in January. Go give it a spin if you don’t wanna be a dummy like me.",0
Frank Chimero,2021-09-30 19:23:01+00:00,"Shout out to halloumi, GOAT cheese.",3
Frank Chimero,2021-09-30 19:19:01+00:00,@destroytoday @grillitype 😢 but also 🥲,0
Frank Chimero,2021-09-30 19:17:43+00:00,"@simonlind @asallen @vanschneider @rsms @bdc @notdetails Thanks, Simon! It’s great company, but sorry guys, my favo… https://t.co/2N9nshiyi0",0
Frank Chimero,2021-09-27 22:10:30+00:00,"Bird shoes.
Never worn.
Fuckin’ bird.",1
Frank Chimero,2021-09-26 21:01:24+00:00,@destroytoday @kyleturman https://t.co/12UFoDXLsa,0
Frank Chimero,2021-09-26 20:43:54+00:00,"@destroytoday @kyleturman I switched to a 4-day work week in January, and want it for everyone.",0
Frank Chimero,2021-09-24 16:11:19+00:00,"New post: The Green Ray, about feeling through color. https://t.co/hI8LyPxJTM
(Published a couple weeks ago and for… https://t.co/7elM4OHFVb",0
Frank Chimero,2021-09-21 17:17:57+00:00,@klimtypefoundry 🔥🥵🔥,0
Frank Chimero,2021-09-15 20:48:05+00:00,"Really enjoyed this convo. Plus, loved the story about the FORBIDDEN HALLWAY. https://t.co/FCjv9d9ohA",0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
